,문제,답변,문제풀이(피드백),대분류,중분류,참고
11,중접 루프 조인이 무엇인가요?,"중첩 루프 조인(NL), Nested Loop Join)은 중첩 for 문과 같은 원리로 조건에 맞는 조인을 하는 방법이며, 랜덤 접근에 대한 비용이 많이 증가하므로 대용량의 테이블 에서는 사용하지 않습니다.
예를 들어 ""다, c2 테이블을 조인한다.""라고 했을 때 첫 번째 테이블에서 행을 한 번 에 하나씩 읽고 그다음 테이블에서도 행을 하나씩 읽어 조건에 맞는 레코드를 찾아 결괏값을 반환합니다.",,,데이터베이스,<면접을 위한 CS 전공지식 노트>
12,인덱스를 매 필드마다 설정하는 것이 좋을까요?,"먼저 인덱스는 두 번 탐색을 강요합니다. 인덱스 리스트, 그다음 컬렉션 이렇게 두 번을 탐색하기 때문이며 읽기 관련 비용이 더 들게 됩니다. 그렇기 때문에 매 필드마 다 설정하는 것은 고찰해봐야 합니다.
또한, 테이블이 수정되면 인덱스도 수정되어야 합니다. 책의 본문이 수정되면 목차 나 찾아보기도 수정해야 하듯이 말이죠. 그리고 인덱스를 수정하는 것은 a= 1을 2 = 2처럼 값만 수정하는 것보다 쉽지도 않습니다. B-트리 구조를 사용하기 때문에 트리의 높이를 균형 있게 조절하는 비용도 들고 데이터를 분산시켜서 효율적으로 조 회할 수 있도록 구축하는 비용도 듭니다.
그렇기 때문에 필드에 인덱스를 무작정 다 설정하는 것은 답이 아닙니다. 또한, 컬렉 션에서 가져와야 하는 양이 많을수록 인덱스를 사용하는 것은 비효율적입니다.",,,데이터베이스,<면접을 위한 CS 전공지식 노트>
13,해시 테이블을 설명하세요,해시 테이블은 무한에 가지운 네이터(키)들을 유한한 개수의 해시 값으로 매핑한 테 이불입니다. 이를 통해 작은 크기의 캐시 메모리로도 프로세스를 관리하도록 할 수 있습니다.,,,자료구조,<면접을 위한 CS 전공지식 노트>
14,그래프와 트리의 차이점은 무엇인가요?,"그래프는 정점과 간선으로 이루어진 자료 구조를 말하며, 트리는 그래프 중 하나 로 그래프의 특징처럼 정점과 간선으로 이루어져 있고 트리 구조로 배열된 일종 의 계층적 데이터의 집합입니다. 루트 노드, 내부 노드, 리프 노드 등으로 구성되며 V-1=E 등의 특징이 있습니다.",,,자료구조,<면접을 위한 CS 전공지식 노트>
15,이진 탐색 트리는 어떤 문제점이 있고 이를 해결하기 위한 트리 중 한 가지를 설명해보세요.,"이진 탐색 트리는 선형적으로 구성될 때 시간 복잡도가 O(n)으로 커지는 문제점이 있습니다. 선형적으로 구성하지 않고 균형 잡힌 트리로 구성하기 위해 나온 트리로 AVL 트리와 레드 블랙 트리가 있으며, 이 중 AVL 트리를 설명하겠습니다.
AVL 트리(Adelon-Velsky and Landis tree)는 스스로 균형을 잡는 이진 탐색 트리입 니다. 두 자식 서브트리의 높이는 항상 최대 1만큼 차이 난다는 특징이 있습니다.
탐색, 삽입, 삭제 모두 시간 복잡도가 01ogr)이며 삽입, 삭제를 할 때마다 균형이 맞지 않는 것을 맞추기 위해 트리 일부를 왼쪽 혹은 오른쪽으로 회전시키며 균형을 잡습니다.",,,자료구조,<면접을 위한 CS 전공지식 노트>
16,"형상 관리 도구는 왜 사용하고, 어떤 종류가 있는지 설명해 주세요.",,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
17,Git 과 Githb의 차이를 설명해 주세요.,,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
18,컴파일 언어와 인터프리터 언어의 차이에 대해 설명해 주세요.,,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
19,자바스크립트는 인터프리터 언어인가요?,,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
20,컴파일과 인터프리터 두 방식을 모두 쓰는 언어가 있나요?,,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
21,컴파일 과정에 대해서 추가적으로 설명해 주세요.,,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
22,객체 지향 프로그래밍에 대해서 설명해 주세요.,,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
23,자바스크립트에서의 객체 지향 프로그래밍이란?,,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
24,객체 지향 5원칙이란 무엇인가요?,,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
25,함수형 프로래밍이란 무엇인가요?,,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
26,라이브러리와 프레임워크의 차이점에 대해 설명해 주세요.,,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
27,디자인 패턴에 대하여 설명해 주세요.,,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
28,파이썬에서 유용한 패턴은 어떤 것들이 있을까요?,,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
29,Decorator Pattem과 Decorator의 차이를 알고 있나요?,,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
30,"API rate 1imiting이란 무엇이며, 그것의 주요 목적에 대해서 설명해 주세요.",,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
31,다른 서비스나 서버와의 통신에서 Rate limiting을 적용하는 데 있어서의 주의점은 무엇인가요?,,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
32,Rate 1imiting을 위반했을 때 클라이언트나 사용자에게 어떤 응답을 제공하는 것이 좋은가요?,,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
33,MTV 패턴에 대하여 설명해 주세요.,,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
34,애자일 개발 방법론에 대하여 설명해 주세요,,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
35,애자일 개발 방법론을 적용하기 위하여 사용되는 프로젝트 관리 도구에 대하여 설명해 주세요.,,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
36,"쿠키(Cookies), 세션 스토리지(Session Storage), 로컬 스토리지(Local Storage)의 차이에 대해 설명해 주세요",,,공통질문,프로그래밍,"눈떠보니 기술 면접 전날 with JS, Python"
37,브라우저 동작 과정에 대해서 설명해 주세요,,,공통질문,웹/브라우저,"눈떠보니 기술 면접 전날 with JS, Python"
38,DNS 프로토콜에 대해서 설명해 주세요.,,,공통질문,웹/브라우저,"눈떠보니 기술 면접 전날 with JS, Python"
39,DOM과 BOM에 대해서 설명해 주세요.,,,공통질문,웹/브라우저,"눈떠보니 기술 면접 전날 with JS, Python"
40,브라우저의 동작 과정을 상세하게 설명해 주세요.,,,공통질문,웹/브라우저,"눈떠보니 기술 면접 전날 with JS, Python"
41,"서버 사이드 렌더링과
클라이언트 사이드 렌더링의 차이에 대해 설명해 주세요.",,,공통질문,웹/브라우저,"눈떠보니 기술 면접 전날 with JS, Python"
42,CSR의 동작 과정을 설명해 주세요.,,,공통질문,웹/브라우저,"눈떠보니 기술 면접 전날 with JS, Python"
43,SSR의 동작 과정을 설명해 주세요.,,,공통질문,웹/브라우저,"눈떠보니 기술 면접 전날 with JS, Python"
44,SSR과 CSR의 단점을 보완할 방법이 있나요?,,,공통질문,웹/브라우저,"눈떠보니 기술 면접 전날 with JS, Python"
45,웹 브라우저의 렌더에 관해 설명해 주세요.,,,공통질문,웹/브라우저,"눈떠보니 기술 면접 전날 with JS, Python"
46,Reflow와 Repaint가 실행되는 시점에 대해 설명해 주세요.,,,공통질문,웹/브라우저,"눈떠보니 기술 면접 전날 with JS, Python"
47,웹사이트 성능 최적화 방법에 대해 설명해 주세요.,,,공통질문,웹/브라우저,"눈떠보니 기술 면접 전날 with JS, Python"
48,렌더링 최적화에 대한 기준이 있나요?,,,공통질문,웹/브라우저,"눈떠보니 기술 면접 전날 with JS, Python"
49,라이트하우스가 무엇인가요?,,,공통질문,웹/브라우저,"눈떠보니 기술 면접 전날 with JS, Python"
50,이미지 최적화를 위해 할 방법이 무엇인가요?,,,공통질문,웹/브라우저,"눈떠보니 기술 면접 전날 with JS, Python"
51,브라우저에서 탭 이동 혹은 탭 종료 시에는 세션 스토리지에 어떤 영향을 주는지 설명해 주세요.,,,공통질문,웹/브라우저,"눈떠보니 기술 면접 전날 with JS, Python"
52,세션 스토리지에 저장된 데이터를 다른 탭으로 이동시킬 수 있나요?,,,공통질문,웹/브라우저,"눈떠보니 기술 면접 전날 with JS, Python"
53,프록시 서버의 기능에 대해 설명해주세요.,,,공통질문,웹/브라우저,"눈떠보니 기술 면접 전날 with JS, Python"
54,리버스 프록시란 무엇인지 포워드 프록시와 비교하여 설명해 주세요.,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
55,VPN Proxy Server의 차이점에 대해 설명해 주세요.,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
56,"HTTP란 무엇인지, HTTP 프로토콜의 가장 큰 특징을 설명해 주세요.",,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
57,HTIP와 HTTPS의 차이점에 대해 설명해 주세요.,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
58,HTTPS 동작방식을 설명해 주세요.,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
59,HTTP 1.1과 HTTP 2.0의 차이를 설명해 주세요.,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
60,HTTP 버전별 성능과 기능의 차이점을 설명해 주세요.,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
61,"GET, POST, PUT, DELETE에 대해 설명해 주세요.",,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
62,"URI, URL, URN에 대해 설명해 주세요.",,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
63,REST API에 대해 설명해 주세요.,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
64,RESTfuL APT와 REST APT의 차이점에 대해 설명해 주세요.,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
65,REST API의 장단점을 설명해 주세요.,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
66,REST API의 사용 사례를 설명해 주세요.,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
67,DNS에 대해 설명해 주세요.,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
68,D5의 기본 동작 방식에 대해 설명해 주세요.,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
69,TCP와 UDP 방식의 차이점에 대해 설명해 주세요,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
70,동작 순서가 어떻게 되나요?,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
71,SOAP에 대해서 설명해 주세요.,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
72,웹 호스팅에 대하여 설명해 주세요.,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
73,웹 사이트 속도는 호스트 서버의 위치에 영향을 받나요?,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
74,웹 서버에 대하여 설명해 주세요.,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
75,웹 서버의 동작 순서는 어떻게 되나요?,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
76,WS와 분리하여 사용하는 이유는 무엇인가요?,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
77,CORS란 무엇인가요?,,,공통질문,네트워크,"눈떠보니 기술 면접 전날 with JS, Python"
78,CORS에 대처하는 방법을 구체적으로 설명해 주세요,,,공통질문,보안,"눈떠보니 기술 면접 전날 with JS, Python"
79,CORS를 우회하는 방법에 대해 구체적으로 설명해 주세요.,,,공통질문,보안,"눈떠보니 기술 면접 전날 with JS, Python"
80,"Cross Origin 요청이란 무엇이고, 어떤 상황에서 CORS Error를 만날 수 있나요?",,,공통질문,보안,"눈떠보니 기술 면접 전날 with JS, Python"
81,XSS에 대해서 간단히 설명해 주세요.,,,공통질문,보안,"눈떠보니 기술 면접 전날 with JS, Python"
82,XSS 공격을 막는 방법에는 무엇이 있나요?,,,공통질문,보안,"눈떠보니 기술 면접 전날 with JS, Python"
83,CSRF에 대해서 간단히 설명해 주세요,,,공통질문,보안,"눈떠보니 기술 면접 전날 with JS, Python"
84,CSRF 공격을 막는 방법에는 무엇이 있나요?,,,공통질문,보안,"눈떠보니 기술 면접 전날 with JS, Python"
85,XSS와 CSRF 공격의 차이점에 대해 설명해 주세요.,,,공통질문,보안,"눈떠보니 기술 면접 전날 with JS, Python"
86,!DOCTYPE이 무엇인지 설명해 주세요.,,,프론트엔드,보안,"눈떠보니 기술 면접 전날 with JS, Python"
87,!DOCTYPE을 선언하지 않으면 어떻게 되나요?,,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
88,HTML의 data-속성의 목적을 설명해 주세요.,,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
89,meta 태그에 대해 설명해 주세요.,,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
90,메타 데이터에 대해 설명해 주세요.,,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
91,시맨틱 태그에 대해 설명해 주세요.,,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
92,section요소와 article 요소의 사용 용도에 관해 설명해 주세요.,,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
93,id와 class 의 차이점을 설명해 주세요.,,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
94,선택자 우선 순위가 어떻게 되나요?,,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
95,CSS에서 박스 모델에 대해 설명해 주세요.,,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
96,마진 병합 현상이란 무엇인가요?,,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
97,CSS에서 position을 어떻게 사용하는지 설명해 주세요.,,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
98,왜 애니메이션을 이용 할 때 transform을 이용하는 것이 좋나요?,,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
99,CSS에서 C는 Cascading을 의미하는데 이에 대한 설명과 캐스케이딩 시스템의 장점을 설명해 주세요.,,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
100,CSS에서 display 속성과 각 요소에 관해서 설명해 주세요.,,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
101,inline-block은 inline과 block의 특징을 모두 가지고 있기 때문에 어떤 상황에서 사용하면 좋나요?,,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
102,"반응형 웹이 무엇이며, 어떤 원리로 동작하는지 설명해 주세요.",,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
103,반응형 웹을 만들기 위해 사용하는 단위에 대해 설명해 주세요.,,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
104,반응형 웹을 사용하는 이유에 대해 설명해 주세요.,,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
105,반응형 웹과 적응형 웹의 차이는 무엇인가요?,,,프론트엔드,HTML/CSS,"눈떠보니 기술 면접 전날 with JS, Python"
106,"Var, let, const의 차이에 대해 설명해 주세요.",,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
107,"var 키워드 대신 let, const 키워드를 사용하는 이유가 있나요?",,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
108,실행 컨텍스트에 대해 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
109,호이스팅에 대해 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
110,"let, const 키워드를 사용하면 호이스팅이 일어나지 않나요?",,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
111,Temporal Dead Zone이란 무엇인가요?,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
112,스코프 체이닝이 무엇인지 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
113,클로저에 대해 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
114,클로저를 어떻게 사용하나요?,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
115,"스코프는 무엇인지, 어떤 종류가 있는지 설명해 주세요.",,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
116,Prototype 에 대해 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
117,자바스크립트의 Prototype 체이닝에 대해 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
118,자바스크립트의 Object.prototype은 무엇인가요?,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
119,this 동작에 대해 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
120,동기와 비동기에 대해 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
121,이벤트 루프에 대해서 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
122,태스크 큐에 대해서 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
123,비동기의 동작원리를 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
124,"Promise, async, await이 뭔지 그리고 사용 방법을 설명해 주세요.",,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
125,"promise와 async, await의 차이를 설명해 주세요.",,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
126,promise.all()에 대해 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
127,Promise 와 Callback 차이를 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
128,TypeScript와 Javascript의 차이를 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
129,타입과 인터페이스의 차이점과 왜 사용하는지 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
130,동적 타이핑 언어의 특징에 대해 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
131,자바스크립트 엔진의 동작 과정에 대해 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
132,자바스크립트 엔진을 구성하는 메모리 힙과 콜 스택에 대해 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
133,자바스크립트 코드를 바이트 코드로 변환하는 과정에 대해 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
134,V8 엔진에 대해 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
135,SPA에 대해 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
136,CSR과 SSR에 대해서 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
137,MPA(Multiple Page Aoplication)에 대해 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
138,모듈 번들러와 트랜스파일러에 대해 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
139,모듈 번들러를 왜 사용하는지 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
140,webpack을 왜 사용하는지 설명해 주세요.,,,프론트엔드,JavaScript,"눈떠보니 기술 면접 전날 with JS, Python"
141,React를 프로젝트에 도입해야 하는 이유를 설명해 주세요,,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
142,컴포년트 기반 개발에서 어떻게 재사용을 유도하나요?,,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
143,생명주기에 대해 설명해 주세요.,,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
144,Virtual DOM이란 무엇인지 설명해 주세요.,,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
145,Props와 State의 공통점과 차이점에 관해 설명해 주세요,,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
146,"Props Drilling은 무엇이고, 해결 방법은 무엇인지 설명해 주세요.",,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
147,Context API에 대해 설명해 주세요.,,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
148,왜 Context를 두고 상태 관리 라이브러리들이 생겼나요?,,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
149,클래스형 컴포넌트와 함수형 컴포넌트의 차이에 관해 설명해 주세요,,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
